"Collection Name","Title#1","Title#1$1","Title#1$4","Title#1$5","Title#1$2","Title#1$3","Title#1$6","Uniform Title#1","Other Title#1","Other Title#1$4","Other Title#1$5","Other Title#1$2","Other Title#1$3","Other Title#1$1","Other Title#1$8","Other Title#1$6","Other Title#1$7","Series Title#1","Composer#1","Composer#1$1","Composer#1$2","Lyricist#1","Arranger#1","Arranger#1$2","Arranger#1$1","Contributor#1","Contributor#1$1","Contributor#1$2","Contributor#1$5","Contributor#1$6","Contributor#1$3","Contributor#1$4","Type of Resource#1","Place Term#1","Place Term#1$1","Place Term#1$2","Publisher#1","Publisher#1$1","Publisher#1$2","Date Issued#1","Edition#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1$1","Form#1$2","Form#1","Form Authority#1","Form Authority#1$1","Form Authority#1$2","Internet Media Type#1","Extent#1","Extent#1$6","Extent#1$4","Extent#1$5","Extent#1$2","Extent#1$3","Extent#1$1","Digital Origin#1","Note#1","Subject Topic#1","Subject Topic#1$3","Subject Topic#1$2","Subject Topic#1$1","Subject Geographic#1","Subject Name#1","Plate Number#1","Plate Number#1$1","Plate Number#1$2","Plate Number#1$5","Plate Number#1$6","Plate Number#1$3","Plate Number#1$4","Plate Number#1$9","Plate Number#1$7","Plate Number#1$8","Plate Number#1$10","Plate Number#1$11","Plate Number#1$12","Publisher Number#1","Identifier#1$5","Identifier#1$6","Identifier#1$7","Identifier#1$8","Identifier#1$9","Identifier#1$1","Identifier#1$2","Identifier#1$3","Identifier#1$4","Identifier#1","Identifier URI#1","Bib Number#1","Shelf Identifier#1","Physical Location#1","Rights#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Ricardo Viñes Piano Music","... 4e [i.e., Quatrième] concerto pour piano: avec accompagnement d'orchestre; op. 44; ... á 2 pianos","","","","","","","Concertos, piano, orchestra, no. 4, op. 44, C minor; arranged","","","","","","","","","","","Saint-Saëns, Camille, 1835-1921","","","","","","","Fauré, Gabriel, 1845-1924","","","","","","","notated music","Paris","","","Durand, Schoenewerk & Cie.","","","[between 1870 and 1879?]","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","1 score (58 pages)","","","","","","","reformatted digital","""Réduction de l'orchestre pour un 2me piano par G. Fauré."" At head of title: À Monsieur Antoine Door.","","","Concertos (Piano)--2-piano scores","Piano music (Pianos (2))","","","D.S. & Cie. 2280 Durand, Schoenewerk","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001440279.pdf","Catalog record: http://libraries.colorado.edu/record=b1076680~S3","b10766807","M1011.S15 op.44, D8","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","2781","4623","musc_vines_U183001440279.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~2781~148259"
"Ricardo Viñes Piano Music","1. Impromptu pour piano","","","","","","","","","","","Premièr impromptu pour piano","","Impromptu pour piano","","","","","Chabrier, Emmanuel, 1841-1894","","","","","","","","","","","","","","notated music","Paris","","","G. Hartmann","","","[between 1800 and 1899?]","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","9 pages of music","","","","","","","reformatted digital","","Piano music","","","","","","","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001059303.pdf","Catalog record: http://libraries.colorado.edu/record=b2688500~S3","b26885001","M25.C5 I4","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3242","4623","musc_vines_U183001059303.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3242~148704"
"Ricardo Viñes Piano Music","1. Nocturne (Fa # majeur)","","","","","","","Nocturnes, piano, no. 1, F♯ major","Premier nocturne","","","","","","","","","","Février, Henry, 1875-1957","","","","","","","","","","","","","","notated music","Paris","","","H. Gregh","","","©1905","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","7 pages of music","","","","","","","reformatted digital","Caption title.","Piano music","","","","","","H.G.1283 H. Gregh","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183002060543.pdf","Catalog record: http://libraries.colorado.edu/record=b2671303~S3","b26713032","M25.F49 N6","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3131","4623","musc_vines_U183002060543.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3131~149195"
"Ricardo Viñes Piano Music","1. Nocturne pour piano","","","","","","","Nocturnes, piano, no. 1, B♭ minor","Premier nocturne","","","","","","","","","","Balakirev, Miliĭ Alekseevich, 1837-1910","","","","","","","","","","","","","","notated music","London","","","Schott","","","[between 1900 and 1999?]","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","7 pages of music","","","","","","","reformatted digital","","Piano music","","","","","","26968 Schott","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001056444.pdf","Catalog record: http://libraries.colorado.edu/record=b2685140~S3","b26851404","M25.B183 N6 no.1","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3211","4623","musc_vines_U183001056444.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3211~188903"
"Ricardo Viñes Piano Music","1. Sonatine pour le piano","","","","","","","Sonatinas, piano, no. 1","","","","Première sonatine pour le piano","","Sonatine pour piano","","","","","François-Berthet, 1873-1956","","","","","","","","","","","","","","notated music","Paris","","","Rouart, Lerolle","","","[between 1900 and 1999?]","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","15 pages of music","","","","","","","reformatted digital","","Sonatas (Piano)","","","","","","F. 32 B. Rouart, Lerolle","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001057814.pdf","Catalog record: http://libraries.colorado.edu/record=b2688497~S3","b26884975","M25 .B479 no.1","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3240","4623","musc_vines_U183001057814.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3240~188849"
"Ricardo Viñes Piano Music","10 variations sur un thème de Ch.M. Widor: pour le piano, op. 23","","","","","","","Variations sur un thème de Ch.M. Widor","","","","Variations sur un thème de M.Ch. Widor","Dix variations sur un thème de Ch.M. Widor","10 variations pour piano sur un thème de M.Ch. Widor","","","","","Schirlé, M. I. A.","","","","","","","Widor, Charles-Marie, 1844-1937","","","","","","","notated music","Paris","","","J. Hamelle","","","[1927]","","","","","","","","printed materials (object genre)","AAT","","","application/pdf","12 pages of music","","","","","","","reformatted digital","","Variations (Piano)","","","","","","J 7,425 H. J. Hamelle","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001776442.pdf","Catalog record: http://libraries.colorado.edu/record=b3315431~S3","b33154314","M27 .S36 op. 23","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3378","4623","musc_vines_U183001776442.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3378~188627"
"Ricardo Viñes Piano Music","10me [i.e., dixième] barcarolle, op. 104, no. 2: pour le piano","","","","","","","Barcarolles, piano, op. 104, no. 2","","","","","","","","","","","Fauré, Gabriel, 1845-1924","","","","","","","","","","","","","","notated music","Paris","","","A. Durand","","","©1913","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","5 pages of music","","","","","","","reformatted digital","","Piano music","","","","","","D.&F. 8902 A. Durand","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183002060284.pdf","Catalog record: http://libraries.colorado.edu/record=b2144566~S3","b21445667","M25.F38 B3 no.10","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","2873","4623","musc_vines_U183002060284.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~2873~148133"
"Ricardo Viñes Piano Music","11me [i.e., onzième] nocturne: pour le piano, op. 104, no. 1","","","","","","","Nocturnes, piano, no. 11, op. 104, no. 1, F♯ minor","","","","","","","","","","","Fauré, Gabriel, 1845-1924","","","","","","","","","","","","","","notated music","Paris","","","Durand","","","©1913","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","4 pages of music","","","","","","","reformatted digital","Cover title.","Piano music","","","","","","","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183002060218.pdf","Catalog record: http://libraries.colorado.edu/record=b2143839~S3","b21438390","M25.F38 N6 no.11","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","2856","4623","musc_vines_U183002060218.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~2856~148137"
"Ricardo Viñes Piano Music","12e nocturne pour la main gauche seule","","","","","","","Nocturnes, piano, 1 hand, op. 71","Douzième nocturne la main gauche seule","","","","","","","","","","Rey-Andreu, E.","","","","","","","","","","","","","","notated music","Lyon","","","Albert Avon","","","[between 1900 and 1999?]","","","","","","","","printed materials (object genre)","AAT","","","application/pdf","2 unnumbered pages of music","","","","","","","reformatted digital","For piano, left hand. ""Op. 71""--Caption title page.","Piano music (1 hand)","","","","","","A.43 A. Albert Avon","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001775111.pdf","Catalog record: http://libraries.colorado.edu/record=b3266417~S3","b32664175","M26 .R49 op.71","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3369","4623","musc_vines_U183001775111.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3369~188653"
"Ricardo Viñes Piano Music","14e nocturne pour piano, op. 79","","","","","","","Nocturnes, piano, no. 14, op. 79","","","","","","","","","","","Rey, Andreu","","","","","","","","","","","","","","notated music","Paris","","","Éditions Maurice Senart","","","1926","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","3 pages of music","","","","","","","reformatted digital","Cover title.","Piano music","","","","","","E.M.S.7079 Éditions Maurice Senart","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183002069571.pdf","Catalog record: http://libraries.colorado.edu/record=b2632072~S3","b26320721","M25 .R473 op.79","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3052","4623","musc_vines_U183002069571.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3052~188561"
